"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  €","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  €","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
12.,"Super Ninja Indoor Kitchen Gnat Traps - Set of 4 Indoor Gnat Catchers for Home, 3 Weeks of Action, Safe for Children and Animals, Not Suitable for Potting Gnats","B09SLX6GQS","https://www.amazon.fr/dp/B09SLX6GQS?psc=1","https://m.media-amazon.com/images/I/910JkUxPcNL._AC_SY355_.jpg","Super Ninja",16.99,895,825,400,"16,797.64","14,010.01",160,200,"NL",6.94,1,3.3,"10,518",8,147,"Super Ninja ECO","Garden","Large Envelope","FBA","12.70 x 3.40 x 7.40 cm",0.12,"N/A","Apr 8, 2022",,"No",47,"Super Ninja ECO"
36.,"Super Ninja Indoor Kitchen Gnat Traps - Set of 2 Indoor Gnat Catchers for Home, 3 Weeks of Action, Safe for Children and Animals, Not Suitable for Potting Gnats","B0130J6YGG","https://www.amazon.fr/dp/B0130J6YGG?psc=1","https://m.media-amazon.com/images/I/81JuXHGDCRL._AC_SY355_.jpg","Super Ninja",10.99,"1,071",918,400,"13,454.52","10,074.84",160,182,"NL",6.6,1,3,832,7,47,"Super Ninja ECO","Garden","Large Envelope","FBA","12.70 x 3.40 x 7.20 cm",0.06,"N/A","May 16, 2025",,"No",10,"Super Ninja ECO"
21.,"Super Ninja Indoor Kitchen Gnat Traps - Set of 2 Indoor Gnat Catchers for Home, 3 Weeks of Action, Safe for Children and Animals, Not Suitable for Potting Gnats","B0963J155G","https://www.amazon.fr/dp/B0963J155G?psc=1","https://m.media-amazon.com/images/I/81JuXHGDCRL._AC_SY355_.jpg","Super Ninja",11.99,664,664,300,"7,958.84","7,952.06",160,176,"NL",6.75,1,3,"19,964",8,187,"Super Ninja ECO","Garden","Large Envelope","FBA","11.40 x 3.40 x 7.20 cm",0.06,"N/A","Sep 2, 2021",,"No",54,"Super Ninja ECO"
9.,"Fruit gnat trap - 2 x traps + 30 ml bait - fruit gnat trap - fruit fly trap - reusable - long-lasting action","B097XV7KC7","https://www.amazon.fr/dp/B097XV7KC7?psc=1","https://m.media-amazon.com/images/I/717fB0pAR-L._AC_SY355_.jpg","Novokill",16.99,204,147,50,"4,103.17","2,500.64",108,"1,221","DE",8.34,1,3.5,"2,437",9,32,"kæferling","Garden","Small Parcel","FBA","20.80 x 6.80 x 18.30 cm",0.08,"N/A","Jul 23, 2021",,"No",56,"kæferling"
15.,"Fruit gnat trap - 4 x traps + 100 ml bait - fruit gnat trap - fruit fly trap - reusable - long-lasting action","B09ZVHKK5K","https://www.amazon.fr/dp/B09ZVHKK5K?psc=1","https://m.media-amazon.com/images/I/71R4F2t1fyL._AC_SY355_.jpg","Novokill",27.99,204,56,30,"4,103.17","1,571.39",109,"1,221","DE",9.11,1,3.5,"2,437",9,32,"kæferling","Garden","Extra Large Envelope","FBA","20.70 x 5.30 x 17.40 cm",0.14,"N/A","May 24, 2022",,"No",46,"kæferling"
14.,"K.PRO - Fruit fly trap, midge, vinegar flies - Effective up to 8 weeks - Food-sourced attractant - Insecticide-free - Special infestation - x1","B07N9LHN6R","https://www.amazon.fr/dp/B07N9LHN6R?psc=1","https://m.media-amazon.com/images/I/71PaYWysWyL._AC_SY355_.jpg","K.PRO",7.79,48,48,40,373.72,373.11,142,"1,300","AMZ",5.48,5,3.1,89,7,1,"Amazon","Garden","Extra Large Envelope","AMZ","14.40 x 4.70 x 8.90 cm",0.07,"N/A","Jan 31, 2019",,"No",86,"Amazon"
33.,"PIC - Fruit Fly Trap, 4 Glue Traps with 2 Attractants - Anti Gnats, Fly Catcher Suitable for Kitchen - Indoor Anti Gnats","B07PN3XFD5","https://www.amazon.fr/dp/B07PN3XFD5?psc=1","https://m.media-amazon.com/images/I/81dJbzpgx7L._AC_SY355_.jpg","PIC",16.95,12,12,"N/A",208.99,208.85,120,"20,103","DE",7.26,1,3.2,315,7,2,"UE-SHOP","Garden","Extra Large Envelope","FBA","21.40 x 4.40 x 19.30 cm",0.21,"N/A","Jun 23, 2019",,"No",81,"UE-SHOP"
20.,"kela FINO Indoor Fruit Fly Trap, Reusable Mosquito Trap with Natural Products (Vinegar, Water), Durable, Matte Black Ceramic","B0DF776KKR","https://www.amazon.fr/dp/B0DF776KKR?psc=1","https://m.media-amazon.com/images/I/61MZduhceRL._AC_SY355_.jpg","kela",12.95,6,6,"N/A",100.69,100.52,124,"67,313","AMZ",5.35,1,3.8,8,7,0,"Amazon","Garden","Small Parcel","AMZ","9.80 x 8.20 x 9.70 cm",0.02,"N/A","Feb 20, 2025",,"No",13,"Amazon"
27.,"Super Ninja Anti Gnats, Indoor Plants, 10 Non-Toxic Yellow Sticky Traps, Anti Midge and Potting Soil Fly, Ultra Effective Gnat Traps for up to 3 Months","B091TY9XDZ","https://www.amazon.fr/dp/B091TY9XDZ?psc=1","https://m.media-amazon.com/images/I/81Oo6kieHgL._SX342_.jpg","Super Ninja",5.99,"4,625","2,473","1,000","36,195.73","14,788.5",151,7,"NL",4.16,1,4,"10,622",8,373,"Super Ninja ECO","Garden","Standard Envelope","FBA","14.70 x 1.40 x 7.40 cm",0.06,"N/A","Sep 2, 2021",,"No",54,"Super Ninja ECO"
"27.1.","Super Ninja Indoor Kitchen Gnat Control - 2 Indoor Gnat Traps + 10 Insect Catchers for Plants, Toxin-Free, Safe for Children and Animals, Up to 3 Months Protection","B0DWTY51S5","https://www.amazon.fr/dp/B0DWTY51S5?psc=1","https://m.media-amazon.com/images/I/91AMMfgNiKL._SX342_.jpg","Super Ninja",11.89,"4,625",218,100,"36,195.73","3,033.82",163,8,"N/A",5.9,1,4,"10,625",8,391,"Super Ninja ECO","Garden","Large Envelope","FBA","18.20 x 3.80 x 13.30 cm",0.11,"N/A","May 16, 2025",,"No",10,"Super Ninja ECO"
