Display Order,Product Details,ASIN,URL,Image URL,Brand,Price  €,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  €,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
9,"Super Ninja Trappola Moscerini Frutta per Interni - 4 Pezzi, trappola per moscerini della frutta efficace per casa e cucina, attiva fino a 3 settimane, adatta a bambini e animali domestici",B09SLX6GQS,https://www.amazon.it/dp/B09SLX6GQS?psc=1,https://m.media-amazon.com/images/I/91lm7PdkaPL._SX450_.jpg,,16.99,159,152,N/A,"2,769.94","2,583.87",188,357,N/A,6.49,1,N/A,N/A,8,154,,,Large Envelope,FBA,12.70 x 3.40 x 7.40 cm,0.12,N/A,"Jul 18, 2022",,No,44,
10,"Super Ninja Trappola Moscerini Frutta per Interni - 2 Pezzi, trappola per moscerini della frutta efficace per casa e cucina, attiva fino a 3 settimane, adatta a bambini e animali domestici",B0DWYWN4KK,https://www.amazon.it/dp/B0DWYWN4KK?psc=1,https://m.media-amazon.com/images/I/81LtUlaPb5L._SX450_.jpg,,10.99,149,133,N/A,"1,816.81","1,458.31",188,"1,198",N/A,5,1,N/A,N/A,8,27,,,Large Envelope,FBA,12.60 x 3.40 x 7.30 cm,0.07,N/A,"Apr 5, 2025",,No,11,
11,"Super Ninja Trappola Moscerini Frutta per Interni - 2 Pezzi, trappola per moscerini della frutta efficace per casa e cucina, attiva fino a 3 settimane, adatta a bambini e animali domestici",B0963J155G,https://www.amazon.it/dp/B0963J155G?psc=1,https://m.media-amazon.com/images/I/81LtUlaPb5L._SX450_.jpg,,11.99,81,81,N/A,968.66,967.71,188,"1,011",N/A,4.34,1,N/A,N/A,8,187,,,Large Envelope,FBA,11.40 x 3.40 x 7.20 cm,0.06,N/A,"Sep 4, 2021",,No,54,
22,Trappola Moscerini Frutta – 2x Trappole + 30ml Esca – Trappola moscerini frutta per cucina – Anti mosche per casa – Trappola mosche interno – Riutilizzabile ed efficace,B097XV7KC7,https://www.amazon.it/dp/B097XV7KC7?psc=1,https://m.media-amazon.com/images/I/71Oow0TwDeL._AC_SY355_.jpg,Novokill,15.99,24,24,N/A,382.57,382.2,168,"2,804",DE,7.35,1,3.7,"1,782",9,25,kæferling,Giardino e giardinaggio,Small Parcel,FBA,20.80 x 6.80 x 18.30 cm,0.08,N/A,"Jul 23, 2021",,No,56,kæferling
21,"Super Ninja Trappola Moscerini Frutta per Interni - 6 Pezzi, trappola per moscerini della frutta efficace per casa e cucina, attiva fino a 3 settimane, adatta a bambini e animali domestici",B0DVBKLWTL,https://www.amazon.it/dp/B0DVBKLWTL?psc=1,https://m.media-amazon.com/images/I/91BF-hL+9bL._SX450_.jpg,,21.99,149,16,N/A,"1,816.81",356.72,188,"1,198",N/A,7.24,1,N/A,N/A,8,27,,,Large Envelope,FBA,17.30 x 3.40 x 7.60 cm,0.18,N/A,"Apr 18, 2025",,No,11,
27,"Super Ninja Trappola moscerini frutta - 10 trappole adesive per moscerini piante e 2 cattura mosche della frutta, altamente efficaci, adatta a bambini e animali domestici, fino a 3 mesi di prestazioni",B0DWTY51S5,https://www.amazon.it/dp/B0DWTY51S5?psc=1,https://m.media-amazon.com/images/I/91tR1Q9DQpL._AC_SY355_.jpg,Super Ninja,14.99,"2,789",19,N/A,"21,067.62",283.28,200,17,NL,6.19,1,4,"10,353",8,423,Super Ninja ECO,Giardino e giardinaggio,Large Envelope,FBA,18.20 x 3.80 x 13.30 cm,0.11,N/A,"May 17, 2025",,No,10,Super Ninja ECO
25,"kela Trappola per moscerini della frutta per interni FINO riutilizzabile, trappola per zanzare con rimedi naturali (aceto, acqua), sostenibile, ceramica nero opaco",B0DF776KKR,https://www.amazon.it/dp/B0DF776KKR?psc=1,https://m.media-amazon.com/images/I/61MZduhceRL._AC_SY355_.jpg,kela,11.81,11,11,N/A,139.15,138.9,163,"17,589",AMZ,5.13,1,3.8,8,7,0,Amazon,Giardino e giardinaggio,Small Parcel,AMZ,9.80 x 8.20 x 9.70 cm,0.02,N/A,"Oct 24, 2025",,No,5,Amazon
28,Trappola Moscerini Frutta – 4x Trappole + 100ml Esca – Trappola moscerini frutta per cucina – Anti mosche per casa – Trappola mosche interno – Riutilizzabile e ad alta efficacia,B09ZVHKK5K,https://www.amazon.it/dp/B09ZVHKK5K?psc=1,https://m.media-amazon.com/images/I/71r93OqJ5lL._AC_SY355_.jpg,Novokill,27.99,4,4,N/A,103.22,103.1,177,"12,393",DE,8.44,1,4,176,9,4,kæferling,Giardino e giardinaggio,Extra Large Envelope,FBA,20.70 x 5.30 x 17.40 cm,0.14,N/A,"Jun 22, 2023",,No,33,kæferling
"6.1.","Super Ninja Fruit Fly Trap - 10 Sticky Fly Traps for Plant Flies and 2 Fruit Fly Catchers, Highly Effective for Kids and Pets - Up to 3 Months Performance","B0DWTR65JD","https://www.amazon.it/dp/B0DWTR65JD?psc=1","https://m.media-amazon.com/images/I/91tR1Q9DQpL._AC_SY355_.jpg","Super Ninja",14.99,217,6,"N/A","3,865.85",82.87,154,536,"N/A",6.19,1,3.7,"10,717",8,176,"Super Ninja ECO","Garden","Large Envelope","FBA","18.30 x 3.80 x 13.20 cm",0.11,"N/A","May 26, 2025",,"No",10,"Super Ninja ECO"
"6.2.","Super Ninja Indoor Fruit Fly Trap - 12 Pieces, Fruit Fly Trap Effective for Home and Kitchen, Active Up to 3 Weeks, Suitable for Children and Pets","B0C6M6DB5H","https://www.amazon.it/dp/B0C6M6DB5H?psc=1","https://m.media-amazon.com/images/I/91EXGAp0O+L._AC_SY355_.jpg","Super Ninja",39.99,217,8,"N/A","3,865.85",323.19,146,536,"N/A",10.54,2,3.7,"10,717",8,204,"Super Ninja ECO","Garden","Small Parcel","AMZ","12.10 x 6.20 x 11.20 cm",0.37,"N/A","Aug 15, 2023",,"No",31,"Super Ninja ECO"
