"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  €","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  €","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
133.,"Sticky Fruit Fly Trap 12 Fungus Gnat Traps Insect Trap Yellow Protection Plants for Kitchen Indoor Outdoor Whiteflies Mosquitoes","B0BKRLTDNK","https://www.amazon.es/dp/B0BKRLTDNK?psc=1","https://m.media-amazon.com/images/I/61FNhjLoDyL._AC_SY355_.jpg","SagaSave",5.39,0,0,"N/A",0,0,128,"166,992","CN",2.66,2,4.5,7,9,0,"Lead First","Garden","Standard Envelope","FBA","1.20 x 15.00 x 10.00 cm",0.05,"N/A","Dec 24, 2025",,"No",3,"Lead First"
"133.1.","Sticky Fruit Fly Trap 24 Fungus Gnat Traps Insect Trap Yellow Protection Plants for Kitchen Indoor Outdoor Whiteflies Mosquito","B0BKRLQTGV","https://www.amazon.es/dp/B0BKRLQTGV?psc=1","https://m.media-amazon.com/images/I/61FNhjLoDyL._AC_SY355_.jpg","SagaSave",10.39,0,0,"N/A",0,0,126,"167,282","N/A","N/A",1,4.5,7,"N/A",0,"Lead First","Garden","N/A","N/A","N/A","N/A","N/A","N/A",,"No","N/A","Lead First"
"133.2.","Sticky Fruit Fly Trap 48 Pcs Fungus Gnat Traps Insect Traps Yellow Protection Plants for Kitchen Indoor Outdoor Whiteflies Mosquitoes","B0BKRMRH2M","https://www.amazon.es/dp/B0BKRMRH2M?psc=1","https://m.media-amazon.com/images/I/61a2tVCGyzL._AC_SY355_.jpg","SagaSave",13.79,0,0,"N/A",0,0,133,"167,282","N/A","N/A",1,4.5,7,"N/A",0,"Lead First","Garden","N/A","N/A","N/A","N/A","N/A","N/A",,"No","N/A","Lead First"
"133.3.","Sticky Fruit Fly Trap 48 Pcs Fungus Gnat Traps Insect Traps Yellow Protection Plants for Kitchen Indoor Outdoor Whiteflies Mosquitoes","B0BKRJLHKZ","https://www.amazon.es/dp/B0BKRJLHKZ?psc=1","https://m.media-amazon.com/images/I/61J4SPvY3kL._AC_SY355_.jpg","SagaSave",13.79,0,0,"N/A",0,0,133,"167,282","N/A","N/A",1,4.5,7,"N/A",0,"Lead First","Garden","N/A","N/A","N/A","N/A","N/A","N/A",,"No","N/A","Lead First"
"133.4.","Sticky Fruit Fly Trap 24 Pcs Fungus Gnat Traps Insect Traps Yellow Protection Plants for Kitchen Indoor Outdoor Whiteflies Mosquitoes","B0BKSFGKKY","https://www.amazon.es/dp/B0BKSFGKKY?psc=1","https://m.media-amazon.com/images/I/61a2tVCGyzL._AC_SY355_.jpg","SagaSave",10.39,0,0,"N/A",0,0,133,"167,282","N/A","N/A",1,4.5,7,"N/A",0,"Lead First","Garden","N/A","N/A","N/A","N/A","N/A","N/A",,"No","N/A","Lead First"
"133.5.","Fruit Fly Sticky Trap, 48 Pieces Mushroom Mosquito Traps Insect Trap, Plant Protection Yellow Stickers for Kitchen Indoor Outdoor Catch White Flies (Bee No. 1)","B0BKRKXYQ9","https://www.amazon.es/dp/B0BKRKXYQ9?psc=1","https://m.media-amazon.com/images/I/61FNhjLoDyL._AC_SY355_.jpg","SagaSave",13.19,0,0,"N/A",0,0,159,"167,282","N/A",4.29,1,4.5,7,9,0,"Lead First","Garden","Extra Large Envelope","MFN","19.00 x 5.70 x 17.70 cm",0.23,"N/A","Jul 13, 2023",,"No",32,"Lead First"
"133.6.","Sticky Fruit Fly Trap 24 Fungus Gnat Traps Insect Trap Yellow Protection Plants for Kitchen Indoor Outdoor Whiteflies Mosquito","B0BKRK9HKG","https://www.amazon.es/dp/B0BKRK9HKG?psc=1","https://m.media-amazon.com/images/I/61qiJ5jq6mL._AC_SY355_.jpg","SagaSave",10.39,0,0,"N/A",0,0,126,"167,282","N/A","N/A",1,4.5,7,"N/A",0,"Lead First","Garden","N/A","N/A","N/A","N/A","N/A","N/A",,"No","N/A","Lead First"
"133.7.","Fruit Fly Sticky Trap, 12pcs Mushroom Mosquito Insect Trap, Yellow Label Plant Protection for Kitchen Indoor Outdoor Catch Whiteflies Mushroom Insects","B0BKRKJVPT","https://www.amazon.es/dp/B0BKRKJVPT?psc=1","https://m.media-amazon.com/images/I/61rBHGdUFJL._AC_SY355_.jpg","SagaSave",8.59,0,0,"N/A",0,0,150,"167,282","N/A","N/A",1,4.5,7,"N/A",0,"Lead First","Garden","N/A","N/A","N/A","N/A","N/A","N/A",,"No","N/A","Lead First"
"133.8.","Sticky Fruit Fly Trap 24 Fungus Gnat Traps Insect Trap Yellow Protection Plants for Kitchen Indoor Outdoor Whiteflies Mosquito","B0BKRMJYRV","https://www.amazon.es/dp/B0BKRMJYRV?psc=1","https://m.media-amazon.com/images/I/61QPn5V3GyL._AC_SY355_.jpg","SagaSave",10.39,0,0,"N/A",0,0,126,"167,282","N/A","N/A",1,4.5,7,"N/A",0,"Lead First","Garden","N/A","N/A","N/A","N/A","N/A","N/A",,"No","N/A","Lead First"
"133.9.","Sticky Fruit Fly Trap 48 Pcs Fungus Gnat Traps Insect Traps Yellow Protection Plants for Kitchen Indoor Outdoor Whiteflies Mosquitoes","B0BKRKH1J7","https://www.amazon.es/dp/B0BKRKH1J7?psc=1","https://m.media-amazon.com/images/I/61qiJ5jq6mL._AC_SY355_.jpg","SagaSave",13.79,0,0,"N/A",0,0,133,"167,282","N/A","N/A",1,4.5,7,"N/A",0,"Lead First","Garden","N/A","N/A","N/A","N/A","N/A","N/A",,"No","N/A","Lead First"
"133.10.","Fruit Fly Sticky Tampa 24PCS Insect Tampa Yellow Sticker Vegetable Protection for Kitchen Indoor Outdoor Catcher Whiteflies Flies Mushroom Flying Insects","B0BKRH1B7D","https://www.amazon.es/dp/B0BKRH1B7D?psc=1","https://m.media-amazon.com/images/I/61rBHGdUFJL._AC_SY355_.jpg","SagaSave",10.39,0,0,"N/A",0,0,153,"167,282","N/A","N/A",1,4.5,7,"N/A",0,"Lead First","Garden","N/A","N/A","N/A","N/A","N/A","N/A",,"No","N/A","Lead First"
