"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  €","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  €","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
71.,"VEYOFLY Fly Trap, Mosquito Trap, Fly Trap, Mosquito Trap, Indoor Mosquito Trap, Safer Home, Gnats, Moths, Insect Light Plug-In (1 Device + 3 Glue Cards)","B0BJ1LXR8B","https://www.amazon.fr/dp/B0BJ1LXR8B?psc=1","https://m.media-amazon.com/images/I/71KJTk+E6VL._AC_SX355_.jpg","VEYOFLY",19.97,65,36,"N/A","1,371.34",727.2,152,"4,908","US",7.72,1,3.4,"14,702",9,125,"VEYOFLY FR","Garden","Small Parcel","FBA","12.19 x 6.10 x 9.30 cm",0.12,"N/A","Aug 16, 2024",,"No",19,"VEYOFLY FR"
"71.1.","VEYOFLY Flying Insect Trap, Insect Catcher, Indoor Fly Trap, Safer Home, Gnats, Moths, Mosquitoes, Insect Light Plug-In (2 Devices + 6 Glues)","B0BDT4XZR4","https://www.amazon.fr/dp/B0BDT4XZR4?psc=1","https://m.media-amazon.com/images/I/61-olCURIsL._AC_SX355_.jpg","VEYOFLY",31.97,65,8,"N/A","1,371.34",263.79,141,"4,908","N/A",9.86,1,3.4,"14,702",9,127,"VEYOFLY FR","Garden","Small Parcel","FBA","14.10 x 6.20 x 11.10 cm",0.25,"N/A","Jun 6, 2024",,"No",21,"VEYOFLY FR"
"71.2.","VEYOFLY Fly Trap, Mosquito Trap, Fly Trap, Mosquito Trap, Indoor Mosquito Trap, Safer Home, Gnats, Moths, Insect Light Plug-In (4 Devices + 12 Glue Cards)","B0BHKRGS2T","https://www.amazon.fr/dp/B0BHKRGS2T?psc=1","https://m.media-amazon.com/images/I/71dhHYKShFL._AC_SY355_.jpg","VEYOFLY",60.44,65,0,"N/A","1,371.34",0,154,"4,908","N/A",14.86,1,3.4,"14,702",9,125,"Amazon US","Garden","Small Parcel","MFN","14.40 x 11.20 x 12.19 cm",0.47,"N/A","Jun 17, 2024",,"No",21,"Amazon US"
"71.3.","VEYOFLY Flying Insect Trap, Insect Catcher, Indoor Fly Trap, Safer Home, Gnats, Moths, Mosquitoes, Insect Light Plug-In (4 Devices + 12 Glues)","B0C3LHD9SD","https://www.amazon.fr/dp/B0C3LHD9SD?psc=1","https://m.media-amazon.com/images/I/71dhHYKShFL._AC_SY355_.jpg","VEYOFLY",57.97,65,0,"N/A","1,371.34",9.65,142,"4,908","N/A",14.41,1,3.4,"14,702",9,125,"VEYOFLY FR","Garden","Small Parcel","FBA","16.10 x 11.20 x 14.30 cm",0.53,"N/A","Mar 2, 2025",,"No",12,"VEYOFLY FR"
"71.4.","VEYOFLY Fly Insect Trap Refill - Plug-in Insect Catcher Refills, Indoor Fly Trap, Mosquito, Insect, Gnats, Moths - Plug in Refills (Pack of 5)","B0BXRT4KVW","https://www.amazon.fr/dp/B0BXRT4KVW?psc=1","https://m.media-amazon.com/images/I/714Kr-b719L._AC_SY355_.jpg","VEYOFLY",11.97,65,8,"N/A","1,371.34",97.91,142,"4,908","N/A",4.07,1,3.4,"14,702",7,125,"VEYOFLY FR","Garden","Standard Envelope","FBA","15.30 x 1.30 x 9.50 cm",0.06,"N/A","Jul 23, 2024",,"No",20,"VEYOFLY FR"
"71.5.","VEYOFLY Flying Insect Trap Refills, Insect Catcher, Indoor Fly Trap, Safer Home, Indoor Midge Killer, Insect Killer, Mosquito Killer (Pack of 5)","B0BDST8YVQ","https://www.amazon.fr/dp/B0BDST8YVQ?psc=1","https://m.media-amazon.com/images/I/61+3aFyzvbL._AC_SY355_.jpg","VEYOFLY",12.97,65,0,"N/A","1,371.34",3.68,144,"4,908","N/A",5.72,1,3.4,"14,702",7,171,"VEYOFLY FR","Garden","Standard Envelope","FBA","15.40 x 1.20 x 9.50 cm",0.05,"N/A","Jul 23, 2024",,"No",20,"VEYOFLY FR"
"71.6.","VEYOFLY Flying Insect Trap Refill - Plug-in Insect Catcher Refills, Indoor Fly Trap, Mosquito, Insect, Gnats, Moths - Plug in Refills (Pack of 10)","B0BXRL9V9Q","https://www.amazon.fr/dp/B0BXRL9V9Q?psc=1","https://m.media-amazon.com/images/I/71fCX59DcaL._AC_SY355_.jpg","VEYOFLY",38.06,65,0,"N/A","1,371.34",0,146,"4,908","N/A",10.02,1,3.4,"14,702",6,125,,"Garden","Standard Envelope","FBA","15.40 x 2.20 x 9.50 cm",0.09,"N/A","Mar 2, 2025",,"No",12,
"71.7.","VEYOFLY Flying Insect Trap Refills, Insect Catcher, Indoor Fly Trap, Safer Home, Indoor Gnat Killer, Insect Killer, Mosquito Killer (Pack of 10)","B0BHKH97P2","https://www.amazon.fr/dp/B0BHKH97P2?psc=1","https://m.media-amazon.com/images/I/71gd8JeyoDL._AC_SY355_.jpg","VEYOFLY",19.97,65,2,"N/A","1,371.34",42.37,144,"4,908","N/A",6.32,1,3.4,"14,702",7,125,"VEYOFLY FR","Garden","Standard Envelope","FBA","15.49 x 2.21 x 9.40 cm",0.09,"N/A","Feb 28, 2025",,"No",13,"VEYOFLY FR"
"71.8.","VEYOFLY Flying Insect Trap Refills, Insect Catcher, Indoor Fly Trap, Safer Home, Indoor Gnat Killer, Insect Killer, Mosquito Killer (Pack of 10)","B0C5V11W9S","https://www.amazon.fr/dp/B0C5V11W9S?psc=1","https://m.media-amazon.com/images/I/71bhu8MmZEL._AC_SY355_.jpg","VEYOFLY",17.97,65,0,"N/A","1,371.34",1.27,144,"4,908","N/A",7.01,1,3.4,"14,702",6,125,"VEYOFLY FR","Garden","Standard Envelope","FBA","15.40 x 2.20 x 9.50 cm",0.09,"N/A","Jun 19, 2025",,"No",9,"VEYOFLY FR"
"71.9.","VEYOFLY Flying Insect Trap Refills, Insect Catcher, Indoor Fly Trap, Safe Home, Gnat Killer, Insect Killer, Mosquito Killer (Pack of 15)","B0BHN2YLRR","https://www.amazon.fr/dp/B0BHN2YLRR?psc=1","https://m.media-amazon.com/images/I/710e6BebErL._AC_SY355_.jpg","VEYOFLY",24.97,65,9,"N/A","1,371.34",224.5,136,"4,908","N/A",8.14,1,3.4,"14,702",6,125,"VEYOFLY FR","Garden","Large Envelope","FBA","15.40 x 3.20 x 9.70 cm",0.13,"N/A","Dec 27, 2024",,"No",15,"VEYOFLY FR"
