"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  €","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  €","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
87.,"40 Pcs Fly Traps, 25 x 40 cm, Paper Stickers for Flies and Fungus, Insect Traps, Double Sided Sticky Fly Catcher for Insect Against Fungus Gnats, Whiteflies","B0BG3X8B5F","https://www.amazon.it/dp/B0BG3X8B5F?psc=1","https://m.media-amazon.com/images/I/71XqrJFTloL._AC_SY355_.jpg","SEIWEI",29.58,"N/A","N/A","N/A","N/A","N/A",156,"21,926","CN","N/A",1,3,3,"N/A","N/A","Tool-Supermart","Garden","N/A","N/A","N/A","N/A","N/A","N/A",,"No","N/A","Tool-Supermart"
"87.1.","Fly Traps Adhesive Fly Traps, 8 x 6 Inches, Yellow, Fly Traps, Insect Traps, Double Sided Adhesive Insect Traps Against Fungus Gnats, Whiteflies, Aphids","B0BG3W3SHX","https://www.amazon.it/dp/B0BG3W3SHX?psc=1","https://m.media-amazon.com/images/I/71nkoZhdFQL._AC_SY355_.jpg","SEIWEI",10.38,0,0,"N/A",0,0,152,"21,926","N/A","N/A",1,3,3,"N/A",0,"Tool-Supermart","Garden","N/A","N/A","N/A","N/A","N/A","N/A",,"No","N/A","Tool-Supermart"
"87.2.","20 Pcs Fly Traps, 20 x 10 cm, Paper Stickers for Flies and Fungus, Insect Traps, Double Sided Sticky Fly Catcher for Insect Against Fungus Gnats, Whiteflies","B0BG3YXZ3C","https://www.amazon.it/dp/B0BG3YXZ3C?psc=1","https://m.media-amazon.com/images/I/71XqrJFTloL._AC_SY355_.jpg","SEIWEI",10.78,0,0,"N/A",0,0,156,"21,926","N/A","N/A",1,3,3,"N/A",0,"Tool-Supermart","Garden","N/A","N/A","N/A","N/A","N/A","N/A",,"No","N/A","Tool-Supermart"
"87.3.","20 Pcs Fly Traps, 20 x 15 cm, Paper Stickers for Flies and Fungus, Insect Traps, Double Sided Sticky Fly Catcher for Insect Against Fungus Gnats, Whiteflies","B0BG3WJ5HT","https://www.amazon.it/dp/B0BG3WJ5HT?psc=1","https://m.media-amazon.com/images/I/71XqrJFTloL._AC_SY355_.jpg","SEIWEI",12.12,0,0,"N/A",0,0,156,"21,926","N/A","N/A",1,3,3,"N/A",0,"Tool-Supermart","Garden","N/A","N/A","N/A","N/A","N/A","N/A",,"No","N/A","Tool-Supermart"
"87.4.","20 Pcs Fly Traps, 20 x 10 cm, Yellow, Fly Traps and Fungus Traps, Insect Traps, Double Sided Sticky Fly Catcher for Insect Against Fungus Gnats, Whiteflies","B0BG3Y6BWL","https://www.amazon.it/dp/B0BG3Y6BWL?psc=1","https://m.media-amazon.com/images/I/71nkoZhdFQL._AC_SY355_.jpg","SEIWEI",10.78,0,0,"N/A",0,0,155,"21,926","N/A","N/A",1,3,3,"N/A",0,"Tool-Supermart","Garden","N/A","N/A","N/A","N/A","N/A","N/A",,"No","N/A","Tool-Supermart"
"87.5.","Sticky Fly Traps, 8 x 12 Inches, Yellow, Fly Traps for Fungus and Fungus, Insect Traps, Double Sided Sticky Fly Catcher for Insect Against Fungus Gnats, Whiteflies","B0BG3VZP2K","https://www.amazon.it/dp/B0BG3VZP2K?psc=1","https://m.media-amazon.com/images/I/71nkoZhdFQL._AC_SY355_.jpg","SEIWEI",10.92,0,0,"N/A",0,0,163,"21,926","N/A","N/A",1,3,3,"N/A",0,"Tool-Supermart","Garden","N/A","N/A","N/A","N/A","N/A","N/A",,"No","N/A","Tool-Supermart"
"87.6.","20 Pcs Fly Traps, 8 x 10 Inches, Paper Stickers for Flies and Fungus, Insect Traps, Double Sided Sticky Fly Catcher for Insect Against Fungus Gnats, Whiteflies","B0BG3TSM41","https://www.amazon.it/dp/B0BG3TSM41?psc=1","https://m.media-amazon.com/images/I/71XqrJFTloL._AC_SY355_.jpg","SEIWEI",13.45,0,0,"N/A",0,0,159,"21,926","N/A","N/A",1,3,3,"N/A",0,"Tool-Supermart","Garden","N/A","N/A","N/A","N/A","N/A","N/A",,"No","N/A","Tool-Supermart"
"87.7.","20 Pcs Fly Traps, 20 x 15 cm, Yellow, Fly Traps and Fungus Traps, Insect Traps, Double Sided Sticky Fly Catcher for Insect Against Fungus Gnats, Whiteflies","B0BG3WN1BK","https://www.amazon.it/dp/B0BG3WN1BK?psc=1","https://m.media-amazon.com/images/I/71nkoZhdFQL._AC_SY355_.jpg","SEIWEI",12.12,0,0,"N/A",0,0,155,"21,926","N/A","N/A",1,3,3,"N/A",0,"Tool-Supermart","Garden","N/A","N/A","N/A","N/A","N/A","N/A",,"No","N/A","Tool-Supermart"
"87.8.","40 Pcs Fly Traps, 20 x 10 cm, Paper Stickers for Flies and Fungus, Insect Traps, Double Sided Sticky Fly Catcher for Insect Against Fungus Gnats, Whiteflies","B0BG3XT9CR","https://www.amazon.it/dp/B0BG3XT9CR?psc=1","https://m.media-amazon.com/images/I/71XqrJFTloL._AC_SY355_.jpg","SEIWEI",15.72,0,0,"N/A",0,0,156,"21,926","N/A","N/A",1,3,3,"N/A",0,"Tool-Supermart","Garden","N/A","N/A","N/A","N/A","N/A","N/A",,"No","N/A","Tool-Supermart"
"87.9.","Fly Traps Stickers, 25 x 40 cm, Paper Stickers for Flies and Fungus, Insect Traps, Double Sided Sticky Fly Catcher for Insect Against Fungus Gnats, Whiteflies","B0BG3YNFFR","https://www.amazon.it/dp/B0BG3YNFFR?psc=1","https://m.media-amazon.com/images/I/71XqrJFTloL._AC_SY355_.jpg","SEIWEI",12.38,0,0,"N/A",0,0,158,"21,926","N/A","N/A",1,3,3,"N/A",0,"Tool-Supermart","Garden","N/A","N/A","N/A","N/A","N/A","N/A",,"No","N/A","Tool-Supermart"
"87.10.","20 Pcs Fly Traps, 20 x 30 cm, Paper Stickers for Flies and Fungus, Insect Traps, Double Sided Sticky Fly Catcher for Insect Against Fungus Gnats, Whiteflies","B0BG3TBS63","https://www.amazon.it/dp/B0BG3TBS63?psc=1","https://m.media-amazon.com/images/I/71XqrJFTloL._AC_SY355_.jpg","SEIWEI",14.65,0,0,"N/A",0,0,156,"21,926","N/A","N/A",1,3,3,"N/A",0,"Tool-Supermart","Garden","N/A","N/A","N/A","N/A","N/A","N/A",,"No","N/A","Tool-Supermart"
